"year"	"week"	"aveTemp"	"maxTemp"	"relHum"	"sunHours"	"precip"	"total"	"pos"	"R1total"	"R1pos"	"R2total"	"R2pos"	"R3total"	"R3pos"	"R4total"	"R4pos"	"R5total"	"R5pos"	"R6total"	"R6pos"	"R7total"	"R7pos"	"R8total"	"R8pos"
1999	3	4.9	8.9	92	8	18	135	48	10	6	9	4	35	15	14	10	15	3	11	1	8	2	2	1
1999	4	0.2	8.6	87	17	11	130	50	15	2	16	8	30	12	13	7	18	6	16	6	4	2	4	2
1999	5	2.7	8.6	86	18	9	106	29	9	2	2	0	19	7	16	9	26	0	6	0	6	3	6	2
1999	6	-3.2	2.5	87	28	6	112	39	14	1	14	3	21	9	17	12	12	2	1	0	6	2	9	1
1999	7	1.8	6	87	26	22	112	41	12	4	16	11	21	9	10	3	17	2	7	3	4	1	9	1
1999	8	2.5	7.5	86	21	18	109	27	11	0	20	8	11	3	1	0	4	0	9	1	3	0	8	2
1999	9	3.6	7.3	91	12	45	124	32	3	2	17	2	28	9	3	1	9	2	7	1	7	2	14	0
1999	10	1.2	5.8	86	16	11	126	24	11	5	5	1	27	4	8	1	24	0	11	5	12	1	7	1
1999	11	3.4	7.4	82	15	13	122	32	14	3	8	0	35	7	9	3	14	9	13	3	8	2	3	0
1999	12	4.3	11.4	87	20	14	123	41	14	3	19	17	30	11	10	0	20	3	5	1	6	2	4	0
1999	13	8.1	16.1	69	57	3	81	15	6	0	5	0	16	5	12	1	10	0	5	0	0	0	10	2
1999	14	8.1	13.8	85	23	8	105	21	14	4	19	4	17	1	17	4	17	0	3	3	7	1	4	0
1999	15	4.8	9.1	78	25	27	124	32	11	0	13	3	20	13	10	3	11	0	5	0	6	1	13	1
1999	16	7.9	15.8	72	56	4	125	20	6	0	20	4	16	1	6	1	7	0	10	0	10	3	10	1
1999	17	9.1	17.2	62	74	0	100	26	7	1	5	0	26	10	2	2	16	0	6	0	3	0	17	4
1999	18	9.4	16.2	62	69	7	120	32	20	5	4	0	28	10	8	1	16	1	11	2	12	3	2	2
1999	19	8.2	15.2	81	30	27	100	36	12	1	11	4	25	16	7	0	12	5	11	3	6	1	1	0
1999	20	12.6	20.5	62	78	4	115	35	9	3	10	8	26	5	11	1	22	1	6	2	3	2	5	1
1999	21	13.4	24.1	71	66	7	98	36	9	1	10	4	22	9	12	6	21	4	5	2	0	0	7	2
1999	22	12.6	18.6	77	51	32	120	55	13	1	13	8	17	7	16	15	9	1	1	0	7	2	20	6
1999	23	12.9	18.7	79	52	38	127	64	10	2	22	14	22	16	12	6	13	4	13	7	6	4	6	3
1999	24	14.6	21.3	72	78	17	129	59	6	5	9	4	34	11	2	0	9	2	11	6	8	1	17	4
1999	25	12.7	20.5	72	66	22	120	60	12	5	4	1	29	11	3	0	20	9	8	7	5	1	13	8
1999	26	15.7	22	81	41	18	113	72	7	5	8	3	31	24	12	9	17	9	8	3	13	9	1	0
1999	27	17.5	25.5	64	85	12	115	74	18	12	7	5	26	15	8	8	9	2	15	7	5	4	3	3
1999	28	17.6	26.7	72	63	20	104	70	14	11	14	10	9	6	13	7	22	8	3	3	2	2	7	5
1999	29	17.3	26.1	76	59	16	112	73	16	12	12	6	23	18	8	6	11	6	6	6	0	0	10	4
1999	30	17.7	26.9	58	92	1	124	98	8	8	14	11	19	16	17	16	16	10	2	1	7	7	18	15
1999	31	20	27.8	56	79	11	127	93	5	4	14	13	29	25	11	10	17	8	5	3	11	11	16	4
1999	32	15.6	22.3	74	44	34	123	84	14	12	9	7	28	18	3	3	22	9	4	4	13	8	9	9
1999	33	14.7	20.6	73	54	29	121	91	11	6	1	1	41	29	4	2	11	9	8	4	6	6	9	6
1999	34	15.8	21.7	69	58	5	110	97	17	16	11	9	25	20	9	8	12	9	5	5	12	12	1	1
1999	35	16.2	24.3	70	58	10	115	91	9	9	15	11	28	17	4	3	10	7	15	13	3	3	2	2
1999	36	17.6	24.6	70	62	0	114	75	17	7	13	12	14	10	22	19	17	4	3	2	0	0	12	7
1999	37	15.9	22.4	73	39	7	110	68	11	6	14	10	16	12	10	9	15	7	6	4	6	2	2	1
1999	38	15.7	20.8	87	28	44	134	86	9	6	12	8	24	19	13	12	18	4	10	8	6	2	19	15
1999	39	12.9	17.5	87	23	73	125	82	7	4	13	7	27	23	8	7	19	13	7	3	10	9	13	5
1999	40	10.5	15.4	83	33	23	117	81	18	13	5	3	30	20	5	3	18	12	6	5	9	5	6	5
1999	41	8.6	14.2	73	44	4	121	76	10	7	9	4	30	22	7	7	13	4	9	2	9	2	9	7
1999	42	7.3	11.1	83	19	9	108	61	12	6	5	3	30	21	8	6	13	6	8	3	8	4	2	1
1999	43	10.1	13.8	86	25	9	128	53	23	6	8	6	24	13	14	9	13	0	15	9	1	1	6	2
1999	44	8.9	14	87	15	5	119	49	13	1	22	16	13	8	12	1	19	7	10	5	3	0	7	5
1999	45	5.5	11.1	86	26	2	118	30	6	1	13	4	21	9	11	4	14	0	7	0	7	2	8	2
1999	46	1.6	5.4	84	12	11	126	35	8	5	15	2	15	2	12	11	17	2	7	1	3	0	20	7
1999	47	5.8	9.9	93	3	8	120	35	12	3	12	2	31	10	7	4	13	7	7	6	12	0	8	0
1999	48	3.9	10.1	87	11	40	126	42	11	4	14	1	35	5	3	1	15	2	7	4	7	1	7	3
1999	49	5.2	9.5	92	6	42	114	49	13	2	6	3	36	19	9	6	17	4	3	1	5	0	6	3
1999	50	0.1	6	90	10	18	118	37	17	1	3	0	36	9	6	1	17	1	9	5	2	1	5	1
1999	51	1.6	7.3	93	11	39	105	35	17	3	8	1	10	2	6	0	15	5	15	10	6	3	3	0
1999	52	1.7	6.4	96	5	7	98	33	3	1	7	1	23	12	12	4	12	3	15	6	6	0	5	0
2000	1	4.3	7.5	92	15	10	124	37	7	0	22	6	22	9	10	4	18	3	3	1	2	2	15	4
2000	2	3.2	7.6	92	9	9	126	49	13	4	12	6	15	1	14	9	11	2	6	1	7	2	15	6
2000	3	0.9	8.3	77	26	3	132	29	7	2	17	1	36	2	11	7	14	1	6	6	12	4	1	0
2000	4	3	7.9	89	12	31	124	26	11	2	6	3	29	8	6	0	16	3	7	3	10	1	4	1
2000	5	5.2	8.4	90	15	15	111	33	22	6	5	0	29	15	4	2	15	1	6	6	8	0	8	2
2000	6	4.4	7.2	88	14	25	114	30	10	1	5	1	38	11	7	3	8	2	11	1	6	2	4	1
2000	7	1.3	6.6	86	23	15	120	28	10	1	6	0	22	5	12	1	21	6	5	2	8	2	10	2
2000	8	3	8.2	85	24	14	121	26	11	1	20	5	18	8	6	1	21	2	11	1	2	1	9	2
2000	9	3.5	8.5	77	28	25	122	37	11	3	7	0	24	11	11	5	20	5	9	0	4	2	20	5
2000	10	3.9	9	85	12	24	127	37	11	2	14	8	23	5	14	8	13	1	8	6	7	0	7	4
2000	11	3.8	8.8	77	24	8	123	38	14	4	15	0	24	11	13	5	7	1	3	2	8	1	7	0
2000	12	4.7	11.8	78	32	12	101	33	11	3	6	0	28	8	2	1	11	3	5	2	10	2	5	1
2000	13	3.8	10.2	78	30	3	107	28	15	5	6	1	31	9	9	3	17	1	6	1	5	2	5	1
2000	14	5.3	12.8	66	49	5	123	23	8	1	11	1	32	7	10	4	17	0	10	5	6	2	7	0
2000	15	5.9	10.7	77	23	11	122	15	10	3	3	0	21	2	4	1	24	2	10	0	4	2	11	2
