"","chrnr","epinr","jnr","matr","resultat","prvdato","region","ugenr"
"22495",10180,2,"A2668097","772","NEG",1998-03-20,NA,12
"22499",10180,5,"A2668100","772","NEG",1998-03-20,NA,12
"22503",10647,4,"A2667968","772","NEG",1998-03-19,"R8",12
"22507",10531,9,"A2667972","772","NEG",1998-03-17,"R5",12
"22511",10453,1,"A2667976","772","NEG",1998-03-16,"R5",12
"22515",10154,2,"A2667980","772","NEG",1998-03-18,"R1",12
"22519",10332,1,"A2667991","772","NEG",1998-03-19,"R3",12
"22523",10125,1,"A2667963","772","NEG",1998-03-17,"R5",12
"22527",10302,8,"A2667931","772","NEG",1998-03-19,"R4",12
"22531",10625,3,"A2667936","772","NEG",1998-03-19,"R1",12
"22539",10102,2,"A2667945","772","NEG",1998-03-18,"R6",12
"22543",10076,1,"A2667951","772","NEG",1998-03-19,"R5",12
"22547",10364,2,"A2667956","772","NEG",1998-03-18,"R1",12
"22551",10127,6,"A2667926","772","NEG",1998-03-19,"R4",12
"22555",10438,2,"A2667733","772","NEG",1998-03-11,"R3",11
"22559",10204,3,"A2667740","772","NEG",1998-03-13,NA,11
"22563",10434,1,"A2667746","772","NEG",1998-03-16,"R3",12
"22567",10281,1,"A2667753","772","NEG",1998-03-16,"R6",12
"22571",10301,2,"A2667757","772","NEG",1998-03-16,"R4",12
"22575",10302,9,"A2667720","772","NEG",1998-03-13,"R4",11
"22595",10089,15,"A2667706","772","NEG",1998-03-13,NA,11
"22599",10127,5,"A2667715","772","NEG",1998-03-16,"R4",12
"22603",10302,7,"A2667718","772","NEG",1998-03-13,"R4",11
"22607",10089,13,"A2667550","772","NEG",1998-03-12,NA,11
"22611",10301,2,"A2667554","772","NEG",1998-03-09,"R4",11
"22615",10404,3,"A2667559","772","NEG",1998-03-10,"R1",11
"22619",10127,6,"A2667569","772","NEG",1998-03-12,"R4",11
"22623",10236,1,"A2667579","772","NEG",1998-03-11,NA,11
"22627",10434,1,"A2667583","772","NEG",1998-03-12,"R3",11
"22631",10398,1,"A2667399","772","NEG",1998-03-09,"R1",11
"22635",10581,1,"A2667404","772","NEG",1998-03-06,"R3",10
"22639",10278,2,"A2667413","772","NEG",1998-03-06,"R6",10
"22643",10347,1,"A2667423","772","NEG",1998-03-05,"R2",10
"22647",10129,3,"A2667434","772","NEG",1998-03-06,"R7",10
"22651",10137,1,"A2667539","772","NEG",1998-03-10,"R5",11
"22655",10398,1,"A2667544","772","NEG",1998-03-09,"R1",11
"22663",10141,3,"A2667287","772","POS",1998-03-05,"R5",10
"22671",10031,3,"A2667295","772","NEG",1998-03-05,"R3",10
"22675",10438,2,"A2667303","772","NEG",1998-03-05,"R3",10
"22690",10410,1,"A2667239","772","NEG",1998-03-02,"R1",10
"22694",10143,4,"A2667244","772","NEG",1998-03-03,"R3",10
"22698",10152,3,"A2667264","772","NEG",1998-03-03,"R2",10
"22702",10594,2,"A2667268","772","NEG",1998-03-05,"R3",10
"22706",10133,2,"A2667277","772","NEG",1998-03-03,"R5",10
"22711",10175,4,"A2667049","772","NEG",1998-02-27,"R2",9
"22715",10410,2,"A2667066","772","NEG",1998-02-27,"R1",9
