"","chrnr","epinr","jnr","matr","resultat","prvdato","region","ugenr"
"21",10107,2,"A2664408","772","NEG",1998-01-05,"R3",2
"25",10203,3,"A2664412","772","NEG",1998-01-05,"R3",2
"38",10619,2,"A2672434","772","POS",1998-06-11,"R5",24
"43",10199,6,"A2673668","772","POS",1998-07-01,"R5",27
"67",10419,1,"A2664392","772","NEG",1998-01-02,"R1",1
"71",10347,1,"A2664396","772","NEG",1998-01-02,"R2",1
"2087",10438,1,"A2624633","766","NEG",1998-04-23,"R3",17
"2254",10121,10,"A2624281","766","NEG",1998-02-09,"R8",7
"2384",10143,2,"A2775817","772","NEG",1999-12-16,"R3",103
"2388",10002,2,"A2775821","772","NEG",1999-12-13,"R5",103
"2392",10306,4,"A2775826","772","NEG",1999-12-14,"R3",103
"2403",10196,1,"A2775809","772","NEG",1999-12-15,"R3",103
"2407",10165,3,"A2775751","772","NEG",1999-12-15,"R5",103
"2411",10398,1,"A2775785","772","NEG",1999-12-16,"R1",103
"2415",10075,1,"A2775789","772","NEG",1999-12-15,"R5",103
"2419",10146,2,"A2775795","772","NEG",1999-12-13,"R3",103
"2423",10211,6,"A2775800","772","NEG",1999-12-16,"R1",103
"2427",10083,1,"A2775805","772","NEG",1999-12-14,"R2",103
"2432",10171,4,"A2775610","772","NEG",1999-12-13,"R5",103
"2436",10125,1,"A2775618","772","NEG",1999-12-10,"R5",102
"2440",10306,7,"A2775622","772","NEG",1999-12-13,"R3",103
"2444",10437,1,"A2775629","772","NEG",1999-12-10,"R3",102
"2449",10529,2,"A2775639","772","NEG",1999-12-10,"R7",102
"2453",10224,1,"A2775643","772","NEG",1999-12-10,"R5",102
"2457",10210,5,"A2775453","772","NEG",1999-12-07,NA,102
"2462",10091,2,"A2775462","772","NEG",1999-12-08,"R3",102
"2466",10240,1,"A2775469","772","NEG",1999-12-08,"R4",102
"2470",10177,1,"A2775549","772","NEG",1999-12-07,NA,102
"2474",10138,1,"A2775594","772","NEG",1999-12-09,NA,102
"2478",10404,5,"A2775602","772","NEG",1999-12-08,"R1",102
"2482",10195,5,"A2775241","772","NEG",1999-12-03,NA,101
"2486",10231,2,"A2775249","772","NEG",1999-12-03,"R7",101
"2492",10441,1,"A2775423","772","NEG",1999-12-07,"R3",102
"2496",10381,1,"A2775435","772","NEG",1999-12-09,"R1",102
"2500",10449,1,"A2775440","772","NEG",1999-12-08,"R5",102
"2504",10553,5,"A2775446","772","NEG",1999-12-07,"R1",102
"2509",10324,4,"A2775195","772","NEG",1999-12-03,"R8",101
"2513",10441,2,"A2775203","772","NEG",1999-12-06,"R3",102
"2517",10153,1,"A2775210","772","NEG",1999-12-03,"R3",101
"2521",10543,1,"A2775219","772","NEG",1999-12-06,"R7",102
"2525",10590,1,"A2775225","772","NEG",1999-12-02,"R6",101
"2529",10437,2,"A2775236","772","NEG",1999-12-03,"R3",101
"2534",10548,6,"A2775021","772","NEG",1999-12-01,"R2",101
"2538",10302,6,"A2775025","772","NEG",1999-11-30,"R4",101
"2542",10372,1,"A2775031","772","NEG",1999-11-30,"R5",101
"2546",10107,3,"A2775037","772","NEG",1999-12-01,"R3",101
"2550",10091,2,"A2775043","772","NEG",1999-12-02,"R3",101
"2554",10491,2,"A2775058","772","NEG",1999-12-02,NA,101
"2563",10572,1,"A2774994","772","NEG",1999-12-01,"R3",101
"2567",10033,1,"A2775000","772","NEG",1999-11-30,"R3",101
"2571",10174,3,"A2775004","772","NEG",1999-11-30,"R5",101
"2575",10609,2,"A2775008","772","NEG",1999-12-02,"R2",101
"2579",10161,2,"A2775014","772","NEG",1999-11-29,"R1",101
"2583",10181,3,"A2775018","772","NEG",1999-12-01,"R3",101
"2588",10153,1,"A2774800","772","NEG",1999-11-29,"R3",101
"2592",10548,3,"A2774805","772","NEG",1999-11-26,"R2",100
"2596",10204,3,"A2774811","772","NEG",1999-11-29,NA,101
"2604",10416,3,"A2774820","772","NEG",1999-11-25,"R1",100
"2608",10168,1,"A2774824","772","NEG",1999-11-29,"R2",101
"2612",10332,2,"A2774625","772","NEG",1999-11-25,"R3",100
"2616",10596,1,"A2774631","772","NEG",1999-11-24,"R5",100
"2620",10118,2,"A2774636","772","NEG",1999-11-24,"R6",100
"2624",10131,3,"A2774775","772","NEG",1999-11-29,"R3",101
"2628",10107,3,"A2774780","772","NEG",1999-11-26,"R3",100
"2632",10166,3,"A2774785","772","NEG",1999-11-26,NA,100
"2636",10141,5,"A2774792","772","NEG",1999-11-29,"R5",101
"2640",10304,3,"A2774594","772","NEG",1999-11-25,"R7",100
"2644",10416,2,"A2774602","772","NEG",1999-11-24,"R1",100
"2648",10562,1,"A2774607","772","NEG",1999-11-23,"R8",100
"2652",10295,1,"A2774611","772","NEG",1999-11-24,"R7",100
"2656",10031,3,"A2774617","772","NEG",1999-11-24,"R3",100
"2660",10434,2,"A2774621","772","NEG",1999-11-23,"R3",100
"2664",10375,2,"A2774458","772","NEG",1999-11-19,"R7",99
"2676",10295,2,"A2774570","772","NEG",1999-11-24,"R7",100
"2680",10098,1,"A2774574","772","NEG",1999-11-23,"R3",100
"2684",10548,1,"A2774583","772","NEG",1999-11-25,"R2",100
"2692",10595,6,"A2774324","772","NEG",1999-11-19,NA,99
"2696",10346,1,"A2774328","772","NEG",1999-11-22,"R2",100
"2700",10554,2,"A2774336","772","NEG",1999-11-19,"R1",99
"2704",10251,9,"A2774341","772","NEG",1999-11-18,"R2",99
"2708",10121,1,"A2774349","772","NEG",1999-11-22,"R8",100
"2712",10121,6,"A2774353","772","NEG",1999-11-19,"R8",99
"2716",10630,1,"A2774209","772","NEG",1999-11-15,"R6",99
"2720",10434,1,"A2774213","772","NEG",1999-11-16,"R3",99
"2724",10434,5,"A2774217","772","NEG",1999-11-16,"R3",99
"2728",10236,1,"A2774221","772","NEG",1999-11-17,NA,99
"2732",10180,5,"A2774311","772","NEG",1999-11-19,NA,99
"2736",10456,1,"A2774316","772","NEG",1999-11-18,"R5",99
"2740",10236,1,"A2774320","772","NEG",1999-11-19,NA,99
"2749",10031,6,"A2774173","772","NEG",1999-11-18,"R3",99
"2753",10646,1,"A2774177","772","NEG",1999-11-16,"R8",99
"2759",10175,4,"A2774199","772","NEG",1999-11-18,"R2",99
"2763",10178,2,"A2774204","772","NEG",1999-11-16,NA,99
"2767",10438,2,"A2774169","772","NEG",1999-11-17,"R3",99
"5959",10222,2,"A2774148","772","NEG",1999-11-18,"R2",99
"5963",10222,42,"A2774152","772","NEG",1999-11-17,"R2",99
"5967",10199,5,"A2774157","772","NEG",1999-11-16,"R5",99
"5971",10610,2,"A2774162","772","NEG",1999-11-16,"R5",99
"5975",10438,1,"A2774168","772","NEG",1999-11-16,"R3",99
"5986",10249,3,"A2773896","772","NEG",1999-11-11,"R5",98
"5990",10199,8,"A2773902","772","NEG",1999-11-15,"R5",99
"5994",10236,2,"A2773906","772","NEG",1999-11-12,NA,98
"5998",10585,1,"A2773910","772","NEG",1999-11-12,"R6",98
"6002",10647,1,"A2773915","772","NEG",1999-11-12,"R8",98
"6009",10136,2,"A2773888","772","NEG",1999-11-12,"R4",98
"6015",10180,5,"A2688289","772","POS",1998-12-28,NA,53
"6019",10081,4,"A2773753","772","NEG",1999-11-09,"R5",98
"6023",10450,4,"A2773757","772","NEG",1999-11-10,"R5",98
"6031",10207,1,"A2773884","772","NEG",1999-11-12,"R5",98
"6035",10485,2,"A2773747","772","NEG",1999-11-09,"R5",98
"6040",10600,3,"A2681622","772","POS",1998-11-10,"R4",46
"6044",10216,1,"A2681922","772","POS",1998-11-17,"R5",47
"6053",10449,1,"A2683314","772","POS",1998-12-10,"R5",50
"6057",10244,3,"A2683466","772","POS",1998-12-01,"R4",49
"6073",10178,1,"A2680548","772","POS",1998-10-23,NA,43
"6084",10127,5,"A2681193","772","POS",1998-11-04,"R4",45
"6356",10245,5,"A2679913","772","POS",1998-10-13,"R4",42
"6364",10244,5,"A2680108","772","POS",1998-10-16,"R4",42
"6368",10315,8,"A2680317","772","POS",1998-10-21,NA,43
"6372",10244,3,"A2680332","772","POS",1998-10-20,"R4",43
"6376",10241,1,"A2680360","772","POS",1998-10-20,NA,43
"6380",10177,1,"A2678613","772","POS",1998-09-23,NA,39
"6386",10281,3,"A2678997","772","POS",1998-09-30,"R6",40
"6390",10140,2,"A2679057","772","POS",1998-09-30,"R4",40
"6394",10403,1,"A2679192","772","POS",1998-10-02,"R1",40
"6399",10610,1,"A2679663","772","POS",1998-10-12,"R5",42
"6404",10449,1,"A2676897","772","POS",1998-08-25,"R5",35
"6408",10168,1,"A2677095","772","POS",1998-08-31,"R2",36
"6414",10178,3,"A2677759","772","POS",1998-09-09,NA,37
"6418",10605,1,"A2678102","772","POS",1998-09-16,"R8",38
"6422",10615,1,"A2678205","772","POS",1998-09-16,NA,38
"6426",10548,2,"A2675443","772","POS",1998-08-03,"R2",32
"6430",10394,11,"A2675603","772","POS",1998-08-05,"R4",32
"6435",10094,4,"A2675697","772","POS",1998-08-06,"R7",32
"6443",10141,2,"A2676117","772","POS",1998-08-11,"R5",33
"6448",10244,5,"A2676521","772","POS",1998-08-20,"R4",34
"6460",10121,4,"A2675032","772","POS",1998-07-23,"R8",30
"6464",10597,2,"A2675038","772","POS",1998-07-27,"R6",31
"6469",10089,5,"A2675285","772","POS",1998-07-29,NA,31
"6473",10089,6,"A2675436","772","POS",1998-07-30,NA,31
"6477",10586,1,"A2674029","772","POS",1998-07-09,"R3",28
"6481",10178,3,"A2674070","772","POS",1998-07-08,NA,28
"6485",10222,41,"A2674190","772","POS",1998-07-13,"R2",29
"6489",10307,2,"A2674203","772","POS",1998-07-13,"R3",29
"6493",10227,2,"A2674410","772","POS",1998-07-16,"R1",29
"6497",10153,3,"A2674434","772","POS",1998-07-15,"R3",29
"6501",10411,1,"A2672876","772","POS",1998-06-16,"R1",25
"6505",10181,3,"A2673037","772","POS",1998-06-18,"R3",25
"6509",10244,4,"A2673303","772","POS",1998-06-23,"R4",26
"6513",10244,2,"A2673453","772","POS",1998-06-29,"R4",27
"6517",10594,1,"A2673475","772","POS",1998-06-26,"R3",26
"6531",10649,1,"A2671038","772","POS",1998-05-15,"R8",20
"6535",10216,1,"A2671360","772","POS",1998-05-18,"R5",21
"6539",10255,1,"A2671849","772","POS",1998-06-02,"R5",23
"6545",10226,2,"A2672463","772","POS",1998-06-11,NA,24
"6549",10120,5,"A2669285","772","POS",1998-04-16,"R3",16
"6553",10619,1,"A2669733","772","POS",1998-04-21,"R5",17
"6558",10411,1,"A2670102","772","POS",1998-04-29,"R1",18
"6562",10244,4,"A2670474","772","POS",1998-05-08,"R4",19
"6566",10306,2,"A2670563","772","POS",1998-04-23,"R3",17
"6572",10248,4,"A2667744","772","POS",1998-03-15,"R8",11
"6576",10302,6,"A2667929","772","POS",1998-03-18,"R4",12
"6580",10154,3,"A2667981","772","POS",1998-03-19,"R1",12
"6584",10434,2,"A2667994","772","POS",1998-03-18,"R3",12
"6588",10151,1,"A2668709","772","POS",1998-04-01,"R3",14
"6593",10027,8,"A2669249","772","POS",1998-04-14,"R7",16
"6597",10159,3,"A2666206","772","POS",1998-02-09,NA,7
"6601",10241,2,"A2666696","772","POS",1998-02-23,NA,9
"6609",10244,3,"A2667063","772","POS",1998-03-02,"R4",10
"6613",10244,2,"A2667426","772","POS",1998-03-06,"R4",10
"6617",10085,1,"A2667567","772","POS",1998-03-12,"R8",11
"6632",10244,5,"A2664707","772","POS",1998-01-09,"R4",2
"6641",10120,5,"A2665403","772","POS",1998-01-28,"R3",5
"6902",10560,2,"A2773722","772","NEG",1999-11-10,"R8",98
"6906",10172,5,"A2773727","772","NEG",1999-11-11,NA,98
"6910",10152,1,"A2773731","772","NEG",1999-11-08,"R2",98
"6914",10149,2,"A2773735","772","NEG",1999-11-10,"R6",98
"6918",10119,2,"A2773740","772","NEG",1999-11-10,"R2",98
"6926",10302,5,"A2773720","772","NEG",1999-11-09,"R4",98
"6930",10176,1,"A2773683","772","NEG",1999-11-11,"R3",98
"6934",10636,2,"A2773696","772","NEG",1999-11-10,"R3",98
"6938",10581,1,"A2773700","772","NEG",1999-11-09,"R3",98
"6942",10236,4,"A2773704","772","NEG",1999-11-09,NA,98
"6946",10249,1,"A2773708","772","NEG",1999-11-11,"R5",98
"6950",10302,3,"A2773718","772","NEG",1999-11-10,"R4",98
"7795",10178,2,"A2773465","772","NEG",1999-11-04,NA,97
"7799",10302,3,"A2773471","772","NEG",1999-11-05,"R4",97
"7803",10245,5,"A2773476","772","NEG",1999-11-08,"R4",98
"7807",10100,5,"A2773480","772","NEG",1999-11-05,"R1",97
"7811",10603,1,"A2773485","772","NEG",1999-11-05,"R3",97
"7815",10202,2,"A2773573","772","NEG",1999-11-05,"R5",97
"7823",10432,1,"A2773250","772","NEG",1999-11-02,"R2",97
"7827",10226,13,"A2773254","772","NEG",1999-11-04,NA,97
"7831",10531,5,"A2773260","772","NEG",1999-11-02,"R5",97
"7835",10109,2,"A2773264","772","NEG",1999-11-02,"R5",97
"7845",10268,1,"A2773459","772","NEG",1999-11-08,"R2",98
"7849",10178,1,"A2773211","772","NEG",1999-11-04,NA,97
"7853",10278,3,"A2773217","772","NEG",1999-11-03,"R6",97
"7857",10094,2,"A2773223","772","NEG",1999-11-02,"R7",97
"7861",10619,3,"A2773233","772","NEG",1999-11-02,"R5",97
"7865",10364,1,"A2773237","772","NEG",1999-11-03,"R1",97
"7869",10245,4,"A2773244","772","NEG",1999-11-03,"R4",97
"7874",10245,3,"A2772983","772","NEG",1999-10-29,"R4",96
"7882",10203,3,"A2773006","772","NEG",1999-10-29,"R3",96
"7891",10505,2,"A2773123","772","NEG",1999-10-29,NA,96
"7895",10531,4,"A2773188","772","NEG",1999-11-02,"R5",97
"7901",10307,4,"A2772805","772","NEG",1999-10-27,"R3",96
"7905",10146,2,"A2772810","772","NEG",1999-10-25,"R3",96
"7909",10211,3,"A2772816","772","NEG",1999-10-26,"R1",96
"7915",10191,1,"A2772898","772","NEG",1999-10-28,NA,96
"7919",10301,2,"A2772962","772","NEG",1999-10-29,"R4",96
"7923",10660,1,"A2772967","772","NEG",1999-11-01,"R4",97
"7927",10216,1,"A2772768","772","NEG",1999-10-27,"R5",96
"7931",10625,1,"A2772773","772","NEG",1999-10-28,"R1",96
"7935",10226,1,"A2772777","772","NEG",1999-10-27,NA,96
"7939",10226,10,"A2772781","772","NEG",1999-10-26,NA,96
"7943",10105,1,"A2772787","772","NEG",1999-10-26,NA,96
"7947",10171,2,"A2772794","772","NEG",1999-10-28,"R5",96
"7951",10625,2,"A2772518","772","NEG",1999-10-25,"R1",96
"7959",10306,7,"A2772541","772","NEG",1999-10-22,"R3",95
"7963",10505,4,"A2772545","772","NEG",1999-10-18,NA,95
"7967",10227,2,"A2772553","772","NEG",1999-10-21,"R1",95
"7971",10165,3,"A2772750","772","NEG",1999-10-28,"R5",96
"7975",10306,1,"A2772763","772","NEG",1999-10-26,"R3",96
"7979",10320,1,"A2772355","772","NEG",1999-10-20,NA,95
"7988",10266,1,"A2772381","772","NEG",1999-10-21,"R6",95
"7994",10307,4,"A2772501","772","NEG",1999-10-22,"R3",95
"7998",10140,3,"A2772509","772","NEG",1999-10-22,"R4",95
"8002",10155,1,"A2772350","772","NEG",1999-10-21,"R5",95
"8006",10320,2,"A2772148","772","NEG",1999-10-15,NA,94
"8010",10543,1,"A2772157","772","NEG",1999-10-15,"R7",94
"8018",10138,2,"A2772329","772","NEG",1999-10-20,NA,95
"8022",10227,1,"A2772335","772","NEG",1999-10-20,"R1",95
"8026",10196,1,"A2772345","772","NEG",1999-10-20,"R3",95
"8042",10266,2,"A2772113","772","NEG",1999-10-18,"R6",95
"8048",10174,4,"A2772131","772","NEG",1999-10-15,"R5",94
"8052",10372,1,"A2772137","772","NEG",1999-10-12,"R5",94
"8108",10491,2,"A2771948","772","NEG",1999-10-12,NA,94
"8113",10337,1,"A2771890","772","NEG",1999-10-14,"R3",94
"8117",10083,1,"A2771904","772","NEG",1999-10-13,"R2",94
"8121",10186,1,"A2771918","772","NEG",1999-10-13,"R6",94
"8125",10144,1,"A2771924","772","NEG",1999-10-14,"R2",94
"8129",10200,2,"A2771929","772","NEG",1999-10-13,"R2",94
"8133",10091,2,"A2771943","772","NEG",1999-10-12,"R3",94
"8145",10584,2,"A2771639","772","NEG",1999-10-11,"R7",94
"8149",10368,1,"A2771645","772","NEG",1999-10-08,"R1",93
"8153",10131,4,"A2771653","772","NEG",1999-10-08,"R3",93
"8164",10089,3,"A2771431","772","NEG",1999-10-07,NA,93
"8168",10482,1,"A2771437","772","NEG",1999-10-06,"R5",93
"8172",10295,1,"A2771464","772","NEG",1999-10-07,"R7",93
"8176",10204,2,"A2771476","772","NEG",1999-10-06,NA,93
"8326",10491,2,"A2771173","772","NEG",1999-10-01,NA,92
"8330",10002,1,"A2771178","772","NEG",1999-10-04,"R5",93
"8334",10637,1,"A2771188","772","NEG",1999-10-04,"R3",93
"8338",10141,6,"A2771202","772","NEG",1999-10-04,"R5",93
"8342",10247,2,"A2771207","772","NEG",1999-10-04,"R2",93
"8379",10375,1,"A2771018","772","NEG",1999-09-28,"R7",92
"8383",10545,1,"A2771026","772","NEG",1999-09-30,NA,92
"8394",10553,7,"A2771057","772","NEG",1999-09-29,"R1",92
"8407",10644,2,"A2770739","772","NEG",1999-09-27,"R8",92
"8411",10181,1,"A2770752","772","NEG",1999-09-24,"R3",91
"8418",10548,5,"A2770975","772","NEG",1999-09-30,"R2",92
"8422",10121,4,"A2770991","772","NEG",1999-09-30,"R8",92
"8426",10108,1,"A2771005","772","NEG",1999-09-30,"R2",92
"8432",10094,4,"A2770565","772","NEG",1999-09-21,"R7",91
"8439",10241,2,"A2770582","772","POS",1999-09-23,NA,91
"8444",10375,2,"A2770619","772","NEG",1999-09-21,"R7",91
"8448",10410,1,"A2770721","772","NEG",1999-09-23,"R1",91
"8452",10199,8,"A2770725","772","NEG",1999-09-24,"R5",91
"8456",10236,2,"A2770563","772","NEG",1999-09-22,NA,91
"8460",10222,41,"A2770520","772","POS",1999-09-23,"R2",91
"8464",10202,1,"A2770526","772","NEG",1999-09-21,"R5",91
"8468",10180,5,"A2770535","772","NEG",1999-09-22,NA,91
"8472",10249,3,"A2770542","772","NEG",1999-09-23,"R5",91
"8476",10175,2,"A2770551","772","POS",1999-09-23,"R2",91
"8480",10236,1,"A2770561","772","NEG",1999-09-21,NA,91
"8484",10100,3,"A2770331","772","NEG",1999-09-17,"R1",90
"8488",10550,1,"A2770335","772","NEG",1999-09-20,NA,91
"8512",10581,2,"A2770148","772","NEG",1999-09-16,"R3",90
"8516",10236,4,"A2770152","772","NEG",1999-09-16,NA,90
"8523",10116,4,"A2770306","772","NEG",1999-09-17,NA,90
"8527",10236,2,"A2770315","772","NEG",1999-09-17,NA,90
"8531",10133,1,"A2770324","772","NEG",1999-09-20,"R5",91
"8535",10119,2,"A2770143","772","NEG",1999-09-15,"R2",90
"8539",10094,4,"A2769840","772","NEG",1999-09-13,"R7",90
"8543",10116,5,"A2769847","772","NEG",1999-09-13,NA,90
"8547",10165,1,"A2769856","772","NEG",1999-09-09,"R5",89
"8551",10129,3,"A2770110","772","NEG",1999-09-16,"R7",90
"8555",10103,2,"A2770122","772","NEG",1999-09-14,NA,90
"8559",10618,2,"A2770129","772","NEG",1999-09-16,NA,90
"8563",10432,1,"A2769639","772","NEG",1999-09-07,"R2",89
"8567",10561,1,"A2769655","772","NEG",1999-09-09,"R8",89
"8571",10203,1,"A2769668","772","NEG",1999-09-07,"R3",89
"8576",10404,3,"A2769808","772","NEG",1999-09-06,"R1",89
"8580",10116,1,"A2769812","772","NEG",1999-09-13,NA,90
"8584",10081,3,"A2769817","772","NEG",1999-09-10,"R5",89
"8592",10146,2,"A2769380","772","NEG",1999-09-03,"R3",88
"8596",10171,1,"A2769395","772","NEG",1999-09-06,"R5",89
"8600",10609,3,"A2769402","772","NEG",1999-09-02,"R2",88
"8604",10245,4,"A2769423","772","POS",1999-09-06,"R4",89
"8617",10307,3,"A2769239","772","NEG",1999-09-01,"R3",88
"8656",10155,1,"A2768964","772","NEG",1999-08-30,"R5",88
"8660",10151,1,"A2769185","772","NEG",1999-08-31,"R3",88
"8664",10203,2,"A2769190","772","NEG",1999-08-31,"R3",88
"8728",10196,3,"A2768531","772","NEG",1999-08-20,"R3",86
"8732",10142,1,"A2768544","772","NEG",1999-08-23,"R5",87
"8736",10590,1,"A2768551","772","NEG",1999-08-19,"R6",86
"8741",10151,1,"A2768777","772","NEG",1999-08-26,"R3",87
"8745",10652,1,"A2768803","772","NEG",1999-08-25,"R5",87
"8776",10554,2,"A2768426","772","NEG",1999-08-19,"R1",86
"8804",10141,2,"A2768114","772","NEG",1999-08-13,"R5",85
"8809",10186,1,"A2768361","772","NEG",1999-08-19,"R6",86
"8813",10379,1,"A2768370","772","NEG",1999-08-16,"R1",86
"8817",10456,1,"A2768380","772","NEG",1999-08-12,"R5",85
"8821",10120,11,"A2768387","772","POS",1999-08-19,"R3",86
"8825",10429,1,"A2768395","772","NEG",1999-08-17,"R3",86
"8829",10491,2,"A2767908","772","NEG",1999-08-11,NA,85
"8833",10637,1,"A2767922","772","NEG",1999-08-12,"R3",85
"8837",10572,1,"A2767930","772","NEG",1999-08-12,"R3",85
"8841",10141,4,"A2767942","772","NEG",1999-08-11,"R5",85
"8845",10553,9,"A2768073","772","NEG",1999-08-13,"R1",85
"8849",10164,2,"A2768091","772","NEG",1999-08-12,"R5",85
"8870",10108,1,"A2767878","772","NEG",1999-08-11,"R2",85
"8874",10304,2,"A2767890","772","NEG",1999-08-09,"R7",85
"8878",10204,1,"A2767901","772","NEG",1999-08-11,NA,85
"8889",10438,1,"A2767641","772","NEG",1999-08-06,"R3",84
"8893",10199,3,"A2767658","772","NEG",1999-08-06,"R5",84
"8897",10121,5,"A2767674","772","NEG",1999-08-06,"R8",84
"8911",10644,1,"A2767514","772","NEG",1999-08-03,"R8",84
"8915",10121,3,"A2767518","772","NEG",1999-08-04,"R8",84
"8919",10657,2,"A2767531","772","NEG",1999-08-04,"R6",84
"8942",10217,2,"A2767179","772","NEG",1999-07-30,"R5",83
"8946",10560,2,"A2767206","772","NEG",1999-07-30,"R8",83
"8950",10180,5,"A2767212","772","NEG",1999-07-30,NA,83
"8955",10199,6,"A2767479","772","NEG",1999-08-04,"R5",84
"8959",10560,1,"A2767485","772","NEG",1999-08-03,"R8",84
"8963",10109,2,"A2766873","772","NEG",1999-07-22,"R5",82
"8982",10531,4,"A2767045","772","NEG",1999-07-27,"R5",83
"8986",10183,2,"A2767073","772","NEG",1999-07-27,"R2",83
"8990",10432,1,"A2766682","772","NEG",1999-07-20,"R2",82
"8994",10248,6,"A2766689","772","NEG",1999-07-21,"R8",82
"8998",10248,2,"A2766693","772","NEG",1999-07-21,"R8",82
"9002",10236,2,"A2766838","772","NEG",1999-07-26,NA,83
"9006",10232,1,"A2766850","772","NEG",1999-07-26,"R3",83
"9010",10405,1,"A2766865","772","NEG",1999-07-20,"R1",82
"9014",10581,2,"A2766669","772","NEG",1999-07-22,"R3",82
"9037",10236,4,"A2766663","772","NEG",1999-07-20,NA,82
"9070",10307,1,"A2766405","772","NEG",1999-07-16,"R3",81
"9074",10342,1,"A2766409","772","NEG",1999-07-16,"R3",81
"9078",10194,1,"A2766465","772","NEG",1999-07-16,"R5",81
"9096",10245,2,"A2766403","772","NEG",1999-07-20,"R4",82
"9100",10171,4,"A2766218","772","NEG",1999-07-15,"R5",81
"9104",10449,1,"A2766227","772","NEG",1999-07-14,"R5",81
"9108",10419,2,"A2766245","772","NEG",1999-07-14,"R1",81
"9112",10081,1,"A2766252","772","NEG",1999-07-12,"R5",81
"9116",10081,3,"A2766262","772","NEG",1999-07-12,"R5",81
"9120",10532,2,"A2766391","772","NEG",1999-07-16,"R4",81
"9148",10216,1,"A2766196","772","NEG",1999-07-14,"R5",81
"9165",10143,2,"A2765964","772","NEG",1999-07-09,"R3",80
"9169",10203,1,"A2765969","772","NEG",1999-07-09,"R3",80
"9173",10233,8,"A2765976","772","NEG",1999-07-09,"R6",80
"9206",10156,4,"A2765831","772","NEG",1999-07-08,NA,80
"9210",10155,1,"A2765838","772","NEG",1999-07-08,"R5",80
"9235",10279,2,"A2765602","772","NEG",1999-07-02,"R6",79
"9240",10161,2,"A2765752","772","NEG",1999-07-07,"R1",80
"9248",10437,1,"A2765808","772","NEG",1999-07-07,"R3",80
"9252",10142,1,"A2765812","772","NEG",1999-07-06,"R5",80
"9256",10005,2,"A2765822","772","NEG",1999-07-07,"R6",80
"9260",10214,1,"A2765371","772","NEG",1999-06-30,"R5",79
"9264",10441,2,"A2765376","772","NEG",1999-06-30,"R3",79
"9269",10151,1,"A2765399","772","NEG",1999-06-29,"R3",79
"9273",10200,2,"A2765404","772","NEG",1999-06-29,"R2",79
"9277",10166,2,"A2765418","772","NEG",1999-06-29,NA,79
"9281",10209,2,"A2765573","772","NEG",1999-07-05,"R1",80
"9302",10529,1,"A2765354","772","NEG",1999-07-01,"R7",79
"9306",10226,9,"A2765360","772","NEG",1999-06-30,NA,79
"9310",10471,8,"A2765366","772","NEG",1999-07-01,"R5",79
"9343",10610,3,"A2765149","772","NEG",1999-06-24,"R5",78
"9347",10045,1,"A2765157","772","NEG",1999-06-25,"R5",78
"9351",10590,2,"A2765164","772","NEG",1999-06-28,"R6",79
"9360",10586,2,"A2765194","772","NEG",1999-06-25,"R3",78
"9385",10337,1,"A2765133","772","NEG",1999-06-28,"R3",79
"9389",10529,2,"A2765139","772","NEG",1999-06-25,"R7",78
"9422",10131,3,"A2764998","772","NEG",1999-06-24,"R3",78
"9426",10552,1,"A2765003","772","NEG",1999-06-23,"R5",78
"9430",10240,1,"A2765017","772","NEG",1999-06-24,"R4",78
"9450",10485,3,"A2764810","772","NEG",1999-06-22,"R5",78
"9454",10204,2,"A2764970","772","NEG",1999-06-24,NA,78
"9458",10438,3,"A2764974","772","NEG",1999-06-22,"R3",78
"9462",10545,1,"A2764981","772","NEG",1999-06-23,NA,78
"9466",10605,1,"A2764986","772","NEG",1999-06-22,"R8",78
"9470",10572,1,"A2764991","772","NEG",1999-06-22,"R3",78
"9474",10302,8,"A2764532","772","NEG",1999-06-15,"R4",77
"9478",10375,1,"A2764539","772","NEG",1999-06-17,"R7",77
"9482",10304,1,"A2764705","772","NEG",1999-06-17,"R7",77
"9486",10149,2,"A2764711","772","NEG",1999-06-17,"R6",77
"9490",10337,1,"A2764722","772","NEG",1999-06-21,"R3",78
"9494",10389,1,"A2764728","772","NEG",1999-06-21,"R1",78
"9502",10121,4,"A2764483","772","NEG",1999-06-16,"R8",77
"9506",10133,1,"A2764489","772","NEG",1999-06-17,"R5",77
"9511",10550,1,"A2764505","772","NEG",1999-06-15,NA,77
"9515",10107,2,"A2764510","772","NEG",1999-06-15,"R3",77
"9521",10375,1,"A2764527","772","NEG",1999-06-16,"R7",77
"9525",10121,1,"A2764479","772","NEG",1999-06-17,"R8",77
"9529",10208,3,"A2764258","772","NEG",1999-06-16,NA,77
"9533",10199,5,"A2764348","772","NEG",1999-06-15,"R5",77
"9537",10242,2,"A2764357","772","NEG",1999-06-14,"R7",77
"9541",10204,1,"A2764465","772","POS",1999-06-17,NA,77
"9545",10275,8,"A2764470","772","NEG",1999-06-16,"R6",77
"9549",10346,3,"A2764476","772","NEG",1999-06-15,"R2",77
"9559",10100,3,"A2764222","772","NEG",1999-06-11,"R1",76
"9563",10163,1,"A2764230","772","NEG",1999-06-11,NA,76
"9571",10181,1,"A2764248","772","POS",1999-06-11,"R3",76
"9575",10434,2,"A2764252","772","NEG",1999-06-14,"R3",77
"9608",10531,4,"A2764034","772","NEG",1999-06-09,"R5",76
